"STOP_LOCATION_X","STOP_LOCATION_Y","AFTER_6PM"
993383,228393,TRUE
1001091,240445,FALSE
985126,207917,FALSE
993123,217087,FALSE
1000713,239764,FALSE
987705,201662,FALSE
988725,216164,TRUE
998556,230225,TRUE
999527,226893,FALSE
984196,201155,FALSE
987202,203777,FALSE
992300,228149,FALSE
986659,200143,FALSE
997374,234664,TRUE
987728,214480,FALSE
998942,230034,TRUE
999570,235684,FALSE
985126,207917,FALSE
990328,202007,TRUE
996080,233261,FALSE
986878,208974,TRUE
987078,215157,FALSE
986320,213788,FALSE
998819,234487,TRUE
985985,198809,FALSE
996868,239132,TRUE
988722,219984,TRUE
999087,234814,TRUE
994276,218779,FALSE
999823,226070,TRUE
1000228,229638,TRUE
999167,229920,FALSE
1001612,235038,TRUE
997392,231914,FALSE
1000491,234788,FALSE
999323,235940,FALSE
999323,235940,FALSE
1003400,252840,FALSE
999274,226421,FALSE
999274,226421,FALSE
982849,196904,FALSE
995825,232785,TRUE
987086,201237,FALSE
998477,241299,FALSE
985808,215574,TRUE
985808,215574,TRUE
986379,210726,FALSE
1000291,242718,TRUE
985086,206193,FALSE
994423,218908,FALSE
1001689,248692,FALSE
986437,216764,FALSE
988132,217060,TRUE
988132,217060,TRUE
1000228,229638,TRUE
1001577,234452,FALSE
981961,199192,FALSE
985198,207585,FALSE
985198,207585,FALSE
985198,207585,FALSE
986928,198107,TRUE
986928,198107,TRUE
986928,198107,TRUE
998095,228167,TRUE
1001575,232339,FALSE
986971,219344,TRUE
986971,219344,TRUE
986971,219344,TRUE
992274,223433,TRUE
992274,223433,TRUE
993281,230497,TRUE
1000213,234341,TRUE
1000773,235970,FALSE
986199,210612,FALSE
986143,217189,FALSE
1001131,234700,FALSE
1001131,234700,FALSE
1000209,230294,TRUE
997450,239445,TRUE
1001795,246381,TRUE
989177,221062,FALSE
1002609,247424,FALSE
987646,201971,FALSE
1005699,253572,TRUE
999247,225892,FALSE
994029,227703,FALSE
1001280,237660,FALSE
985961,200916,TRUE
985961,200916,TRUE
985961,200916,TRUE
993640,217848,FALSE
998732,227121,FALSE
1000675,229319,FALSE
1000675,229319,FALSE
998734,228608,TRUE
997839,225593,FALSE
985983,204874,FALSE
987784,204939,TRUE
997374,234664,TRUE
982719,196415,FALSE
985584,212127,FALSE
987594,212111,FALSE
989420,211458,FALSE
986688,214342,FALSE
999881,243835,TRUE
983710,197045,FALSE
988178,215166,FALSE
989192,220317,TRUE
998734,228608,TRUE
1001468,228475,TRUE
1000432,229485,FALSE
1000818,226133,TRUE
1000818,226133,TRUE
1001528,234581,FALSE
996877,230982,FALSE
984662,206347,FALSE
984728,207199,FALSE
987771,212687,FALSE
993772,229843,FALSE
1003572,229669,FALSE
996080,233261,FALSE
995982,233041,FALSE
999687,238252,TRUE
986147,208855,FALSE
1002138,234877,FALSE
1003064,249581,TRUE
1003064,249581,TRUE
991664,211648,TRUE
991970,213960,FALSE
991435,212426,FALSE
1000675,229319,FALSE
1000190,227329,FALSE
983426,206189,FALSE
983426,206189,FALSE
993306,219527,FALSE
988567,221561,FALSE
988567,221561,FALSE
999073,230985,FALSE
997312,239363,FALSE
1000326,239064,FALSE
994201,219031,FALSE
993452,229799,TRUE
1000485,230141,FALSE
1001627,230230,TRUE
996716,234409,FALSE
1000209,241305,FALSE
988998,205405,FALSE
989429,209371,FALSE
987645,210360,FALSE
1000547,227069,FALSE
1002942,249362,TRUE
996773,232323,FALSE
985838,199997,TRUE
989243,222888,TRUE
1001192,229319,TRUE
999643,228852,TRUE
999643,228852,TRUE
989309,219188,TRUE
990758,226482,FALSE
984659,201514,FALSE
984659,201514,FALSE
